Last Modified,URL,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8
2022-11-07,https://www.essex.ac.uk/research/showcase,research,showcase,,,,,,
2023-04-13,https://www.essex.ac.uk/blog/post-map,blog,post-map,,,,,,
2023-11-10,https://www.essex.ac.uk/life/loughton-campus,life,loughton-campus,,,,,,
2024-05-16,https://www.essex.ac.uk/blog,blog,,,,,,,
2024-02-02,https://www.essex.ac.uk/blog/student,blog,student,,,,,,
2024-10-29,https://www.essex.ac.uk/blog/staff/authors,blog,staff,authors,,,,,
2024-10-31,https://www.essex.ac.uk/life/southend-campus,life,southend-campus,,,,,,
2024-10-29,https://www.essex.ac.uk/blog/staff/tags,blog,staff,tags,,,,,
2024-11-14,https://www.essex.ac.uk/blog/staff,blog,staff,,,,,,
2024-10-29,https://www.essex.ac.uk/blog/authors,blog,authors,,,,,,
2024-10-30,https://www.essex.ac.uk/blog/tags,blog,tags,,,,,,
2024-10-30,https://www.essex.ac.uk/blog/student/tags,blog,student,tags,,,,,
2024-10-29,https://www.essex.ac.uk/blog/student/authors,blog,student,authors,,,,,
2025-01-31,https://www.essex.ac.uk/blog/categories,blog,categories,,,,,,
2025-01-31,https://www.essex.ac.uk/blog/staff/categories,blog,staff,categories,,,,,
2025-01-31,https://www.essex.ac.uk/blog/student/categories,blog,student,categories,,,,,
2025-04-22,https://www.essex.ac.uk/life/colchester-campus,life,colchester-campus,,,,,,
2025-04-28,https://www.essex.ac.uk/student,student,,,,,,,
2025-05-13,https://www.essex.ac.uk/staff,staff,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/entrepreneurship-innovation-management-and-internationalisation,centres-and-institutes,entrepreneurship-innovation-management-and-internationalisation,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/essex-plant-innovation,centres-and-institutes,essex-plant-innovation,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/politics-of-representation-in-crisis,centres-and-institutes,politics-of-representation-in-crisis,,,,,,
2022-12-22,https://www.essex.ac.uk/centres-and-institutes/myth-studies,centres-and-institutes,myth-studies,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/social-and-economic-network-analysis,centres-and-institutes,social-and-economic-network-analysis,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/business-and-local-government-data,centres-and-institutes,business-and-local-government-data,,,,,,
2022-08-03,https://www.essex.ac.uk/centres-and-institutes/microsimulation-and-policy-analysis,centres-and-institutes,microsimulation-and-policy-analysis,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/ideology-and-discourse-analysis,centres-and-institutes,ideology-and-discourse-analysis,,,,,,
2023-09-20,https://www.essex.ac.uk/centres-and-institutes/finance,centres-and-institutes,finance,,,,,,
2023-11-10,https://www.essex.ac.uk/centres-and-institutes/biomedical-sciences,centres-and-institutes,biomedical-sciences,,,,,,
2023-11-10,https://www.essex.ac.uk/centres-and-institutes/curatorial-studies,centres-and-institutes,curatorial-studies,,,,,,
2024-01-26,https://www.essex.ac.uk/centres-and-institutes/behavioural-science,centres-and-institutes,behavioural-science,,,,,,
