course_url,course_name,degree_type
https://www.essex.ac.uk/courses/UG00001/1/BSc-Accounting,Accounting,BSc
https://www.essex.ac.uk/courses/PG00425/1/MSc-Accounting,Accounting,MSc
https://www.essex.ac.uk/courses/PR00854/2/PhD-Accounting,Accounting,PhD
https://www.essex.ac.uk/courses/UG00002/1/BSc-Accounting-and-Finance,Accounting And Finance,BSc
https://www.essex.ac.uk/courses/PR00855/5/PhD-Accounting-and-Finance,Accounting And Finance,PhD
https://www.essex.ac.uk/courses/PR00854/1/PhD-Accounting,Accounting,PhD
https://www.essex.ac.uk/courses/UG00002/2/BSc-Accounting-and-Finance,Accounting And Finance,BSc
https://www.essex.ac.uk/courses/UG00002/3/Integrated-Master-in-Accounting-Accounting-and-Finance,Master In Accounting Accounting And Finance,Integrated
https://www.essex.ac.uk/courses/PG00425/4/MRes-Accounting,Accounting,MRes
https://www.essex.ac.uk/courses/PR00855/1/PhD-Accounting-and-Finance,Accounting And Finance,PhD
https://www.essex.ac.uk/courses/PG00427/1/MSc-Financial-Economics-and-Accounting,Financial Economics And Accounting,MSc
https://www.essex.ac.uk/courses/PG00426/1/MSc-Accounting-and-Finance,Accounting And Finance,MSc
https://www.essex.ac.uk/courses/PG00428/1/MSc-Accounting-and-Financial-Management,Accounting And Financial Management,MSc
https://www.essex.ac.uk/courses/UG00418/1/BA-World-Performance,World Performance,BA
https://www.essex.ac.uk/courses/UG00411/1/Certificate-of-HE-Acting-for-Stage-and-Screen,Of He Acting For Stage And Screen,Certificate
https://www.essex.ac.uk/courses/UG00011/1/BA-Acting-and-Fight-Performance,Acting And Fight Performance,BA
https://www.essex.ac.uk/courses/PR01342/1/PhD-Drama-and-Performance,Drama And Performance,PhD
https://www.essex.ac.uk/courses/PG00830/2/MFA-Theatre-Directing,Theatre Directing,MFA
https://www.essex.ac.uk/courses/PR01346/1/PhD-Drama-and-Performance-Practice-as-Research,Drama And Performance Practice As Research,PhD
https://www.essex.ac.uk/courses/UG01619/1/BA-Stage-Management,Stage Management,BA
https://www.essex.ac.uk/courses/UG00009/2/BA-Acting-and-Community-Engagement,Acting And Community Engagement,BA
https://www.essex.ac.uk/courses/PG00147/2/MFA-Acting-International,Acting International,MFA
https://www.essex.ac.uk/courses/UG00337/1/BA-Acting-and-Physical-Theatre,Acting And Physical Theatre,BA
https://www.essex.ac.uk/courses/PG00431/1/MA-Acting,Acting,MA
