last modified,url,level_1,level_1,level_2,level_2,level_3,level_3,level_4,level_4,level_5,level_5,level_6,level_6,level_7,level_7,level_8,level_8
2022-11-07,https://www.essex.ac.uk/research/showcase,research,research,showcase,showcase,,,,,,,,,,,,
2023-04-13,https://www.essex.ac.uk/blog/post-map,blog,blog,post-map,post-map,,,,,,,,,,,,
2023-11-10,https://www.essex.ac.uk/life/loughton-campus,life,life,loughton-campus,loughton-campus,,,,,,,,,,,,
2024-05-16,https://www.essex.ac.uk/blog,blog,blog,,,,,,,,,,,,,,
2024-02-02,https://www.essex.ac.uk/blog/student,blog,blog,student,student,,,,,,,,,,,,
2024-10-29,https://www.essex.ac.uk/blog/staff/authors,blog,blog,staff,staff,authors,authors,,,,,,,,,,
2024-10-31,https://www.essex.ac.uk/life/southend-campus,life,life,southend-campus,southend-campus,,,,,,,,,,,,
2024-10-29,https://www.essex.ac.uk/blog/staff/tags,blog,blog,staff,staff,tags,tags,,,,,,,,,,
2024-11-14,https://www.essex.ac.uk/blog/staff,blog,blog,staff,staff,,,,,,,,,,,,
2024-10-29,https://www.essex.ac.uk/blog/authors,blog,blog,authors,authors,,,,,,,,,,,,
2024-10-30,https://www.essex.ac.uk/blog/tags,blog,blog,tags,tags,,,,,,,,,,,,
2024-10-30,https://www.essex.ac.uk/blog/student/tags,blog,blog,student,student,tags,tags,,,,,,,,,,
2024-10-29,https://www.essex.ac.uk/blog/student/authors,blog,blog,student,student,authors,authors,,,,,,,,,,
2025-01-31,https://www.essex.ac.uk/blog/categories,blog,blog,categories,categories,,,,,,,,,,,,
2025-01-31,https://www.essex.ac.uk/blog/staff/categories,blog,blog,staff,staff,categories,categories,,,,,,,,,,
2025-01-31,https://www.essex.ac.uk/blog/student/categories,blog,blog,student,student,categories,categories,,,,,,,,,,
2025-04-22,https://www.essex.ac.uk/life/colchester-campus,life,life,colchester-campus,colchester-campus,,,,,,,,,,,,
2025-04-28,https://www.essex.ac.uk/student,student,student,,,,,,,,,,,,,,
2025-05-13,https://www.essex.ac.uk/staff,staff,staff,,,,,,,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/entrepreneurship-innovation-management-and-internationalisation,centres-and-institutes,centres-and-institutes,entrepreneurship-innovation-management-and-internationalisation,entrepreneurship-innovation-management-and-internationalisation,,,,,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/essex-plant-innovation,centres-and-institutes,centres-and-institutes,essex-plant-innovation,essex-plant-innovation,,,,,,,,,,,,
2023-06-08,https://www.essex.ac.uk/centres-and-institutes/politics-of-representation-in-crisis,centres-and-institutes,centres-and-institutes,politics-of-representation-in-crisis,politics-of-representation-in-crisis,,,,,,,,,,,,
