URL,Last Modified,Second Prefix
https://www.essex.ac.uk/departments/government,2023-11-23,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies,2024-01-30,departments
https://www.essex.ac.uk/departments/economics,2024-09-16,departments
https://www.essex.ac.uk/departments/law/essex-law-clinic,2024-10-08,departments
https://www.essex.ac.uk/departments/psychology,2025-03-03,departments
https://www.essex.ac.uk/departments/language-and-linguistics,2025-03-03,departments
https://www.essex.ac.uk/departments/mathematics-statistics-and-actuarial-science,2025-03-03,departments
https://www.essex.ac.uk/departments/literature-film-and-theatre-studies,2025-03-03,departments
https://www.essex.ac.uk/departments/edge-hotel-school,2025-03-03,departments
https://www.essex.ac.uk/departments/life-sciences,2025-02-28,departments
https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering,2025-03-14,departments
https://www.essex.ac.uk/departments/sociology,2024-09-16,departments
https://www.essex.ac.uk/departments/essex-pathways,2025-03-03,departments
https://www.essex.ac.uk/departments/health-and-social-care,2025-03-24,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies,2025-04-16,departments
https://www.essex.ac.uk/departments/law,2024-11-26,departments
https://www.essex.ac.uk/departments/essex-business-school,2025-05-13,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/group-and-institutional-dynamics,2023-06-08,departments
"https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/image,-fantasy-and-memory",2020-03-17,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/history-of-psychoanalysis,2023-06-08,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/comparative-psychoanalysis,2022-09-13,departments
"https://www.essex.ac.uk/departments/language-and-linguistics/research/language-variation,-identity-and-interaction",2022-12-22,departments
https://www.essex.ac.uk/departments/language-and-linguistics/research/english-language-teaching,2022-12-22,departments
https://www.essex.ac.uk/departments/essex-business-school/research/bafa-accounting-and-finance-in-emerging-economies-group,2022-12-22,departments
https://www.essex.ac.uk/departments/essex-business-school/research/finance-group,2023-07-18,departments
https://www.essex.ac.uk/departments/essex-business-school/research/accounting-group,2023-06-08,departments
https://www.essex.ac.uk/departments/essex-business-school/research/strategy-operations-and-entrepreneurship,2023-06-08,departments
https://www.essex.ac.uk/departments/government/research/political-theory-and-discourse,2022-12-22,departments
https://www.essex.ac.uk/departments/essex-business-school/research/organisation-studies-and-human-resource-management-group,2023-11-10,departments
https://www.essex.ac.uk/departments/government/research/political-economy,2024-01-10,departments
https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering/research/robotics-and-embedded-systems,2024-01-09,departments
https://www.essex.ac.uk/departments/law/research/law-business-and-technology-id-hub,2023-07-24,departments
https://www.essex.ac.uk/departments/law/research/business-law,2023-11-28,departments
https://www.essex.ac.uk/departments/law/research/human-rights,2023-07-18,departments
https://www.essex.ac.uk/departments/law/research/public-law,2023-07-24,departments
https://www.essex.ac.uk/departments/law/research/socio-legal-studies,2023-07-24,departments
https://www.essex.ac.uk/departments/law/research/health-law,2023-07-24,departments
https://www.essex.ac.uk/departments/law/research/law-and-technology,2023-07-24,departments
https://www.essex.ac.uk/departments/law/research/criminal-justice,2023-07-24,departments
https://www.essex.ac.uk/departments/government/research/international-relations-and-conflict,2024-01-11,departments
https://www.essex.ac.uk/departments/life-sciences/research/ecology-and-environmental-microbiology-group,2024-02-14,departments
https://www.essex.ac.uk/departments/government/research/political-behaviour,2024-02-07,departments
https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering/research/communications-and-networks,2024-02-19,departments
https://www.essex.ac.uk/departments/psychology/facilities/centre-for-brain-science/babylab,2024-03-13,departments
https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/american-literatures-and-cultures,2023-07-24,departments
https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/comparative-literature-and-translation,2023-07-24,departments
https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/creative-writing-and-scriptwriting,2023-07-24,departments
https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/ecocriticism-green-writing-and-literary-geographies,2023-07-24,departments
https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/speculative-humanities,2024-03-05,departments
https://www.essex.ac.uk/departments/literature-film-and-theatre-studies/research/human-rights-and-the-humanities,2023-07-24,departments
https://www.essex.ac.uk/departments/health-and-social-care/research/public-health-and-social-policy,2024-03-14,departments
https://www.essex.ac.uk/departments/psychology/research/interacting-with-the-world,2021-09-20,departments
https://www.essex.ac.uk/departments/psychology/research/experiencing-the-world,2022-07-04,departments
https://www.essex.ac.uk/departments/psychology/research/thinking-about-the-world,2022-07-04,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/political-and-social-issues,2024-04-30,departments
https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering/research/artificial-intelligence,2024-05-06,departments
https://www.essex.ac.uk/departments/economics/research/macroeconomics,2024-09-09,departments
https://www.essex.ac.uk/departments/economics/research/behavioural-experimental-and-development-economics,2024-09-09,departments
https://www.essex.ac.uk/departments/economics/research/applied-economics,2024-09-10,departments
https://www.essex.ac.uk/departments/sport-rehabilitation-and-exercise-sciences/research/professional-practice,2024-09-11,departments
https://www.essex.ac.uk/departments/government/research/political-institutions,2024-09-13,departments
https://www.essex.ac.uk/departments/psychology/facilities/eepru,2024-09-04,departments
https://www.essex.ac.uk/departments/economics/research/microeconomics,2024-09-11,departments
https://www.essex.ac.uk/departments/life-sciences/research/plant-productivity-group,2024-11-01,departments
https://www.essex.ac.uk/departments/sport-rehabilitation-and-exercise-sciences/research/health-exercise-and-active-lifestyle,2024-10-21,departments
"https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/psychoanalysis,-law-and-social-phenomena",2024-10-18,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/synchronicity,2024-11-20,departments
https://www.essex.ac.uk/departments/computer-science-and-electronic-engineering/research/brain-computer-interfaces-and-neural-engineering,2024-11-12,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/gender,2024-05-31,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/jungian-theory,2024-04-30,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/philosophical-issues-in-psychoanalysis,2024-04-30,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/psychoanalysis-and-counselling,2024-04-30,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/psychoanalytic-theory,2024-05-30,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/research-methodology,2024-05-30,departments
https://www.essex.ac.uk/departments/psychosocial-and-psychoanalytic-studies/research/trauma-and-violence,2024-05-31,departments
https://www.essex.ac.uk/departments/health-and-social-care/research/neuro-developmental-and-acquired-disorders,2024-11-06,departments
https://www.essex.ac.uk/departments/economics/research/econometrics,2024-11-12,departments
https://www.essex.ac.uk/departments/health-and-social-care/research/pedagogy-research-for-health-and-social-care,2024-07-16,departments
https://www.essex.ac.uk/departments/government/research/c2r-lab,2024-05-03,departments
https://www.essex.ac.uk/departments/mathematics-statistics-and-actuarial-science/research/data-science,2024-12-03,departments
https://www.essex.ac.uk/departments/sport-rehabilitation-and-exercise-sciences/research/human-performance,2025-01-09,departments
https://www.essex.ac.uk/departments/life-sciences/research/ecology-and-environmental-microbiology-group/coral-reef-research-unit,2025-01-23,departments
https://www.essex.ac.uk/departments/government/research/political-economy-political-science-institutions,2025-01-23,departments
https://www.essex.ac.uk/departments/mathematics-statistics-and-actuarial-science/research/mathematics,2025-02-06,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/classical-german-philosophy,2025-02-19,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/critical-theory,2025-02-19,departments
"https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/feminism,-race-and-gender",2025-02-19,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/phenomenology-and-existentialism,2025-02-19,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/self-consciousness-and-self-knowledge,2025-02-19,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/medical-humanities,2025-02-19,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/political-cultures-class-and-citizenship,2025-02-19,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/war-conflict-and-memory,2025-02-19,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/space-and-place,2025-02-19,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/the-politics-of-art-and-visual-culture,2025-02-19,departments
https://www.essex.ac.uk/departments/philosophical-historical-and-interdisciplinary-studies/research/art-produced-beyond-its-historic-institutions,2025-02-19,departments
