URL,Last Modified,Second Prefix
https://www.essex.ac.uk/event-series,2024-05-16,event-series
https://www.essex.ac.uk/event-series/essex-on-covid-19,2023-02-10,event-series
https://www.essex.ac.uk/event-series/social-sciences-30-minute-talks-on-research,2022-02-27,event-series
https://www.essex.ac.uk/event-series/burrows-lecture,2023-11-10,event-series
https://www.essex.ac.uk/event-series/the-dora-love-prize,2023-12-07,event-series
https://www.essex.ac.uk/event-series/professorial-inaugural-lectures,2024-07-24,event-series
https://www.essex.ac.uk/event-series/after-essex,2024-06-14,event-series
https://www.essex.ac.uk/event-series/think,2024-01-31,event-series
https://www.essex.ac.uk/event-series/festival-of-social-science,2024-01-31,event-series
https://www.essex.ac.uk/event-series/black-history-month,2024-10-21,event-series
https://www.essex.ac.uk/event-series/holocaust-memorial-week,2025-02-12,event-series
https://www.essex.ac.uk/event-series/lgbtq,2025-02-13,event-series
https://www.essex.ac.uk/event-series/cure,2025-03-18,event-series
https://www.essex.ac.uk/event-series/womens-history-month,2025-03-05,event-series
https://www.essex.ac.uk/event-series/international-womens-day,2025-03-04,event-series
