URL,Last Modified,Second Prefix
https://www.essex.ac.uk/governance-and-strategy/university-strategy,2023-10-12,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy,2024-05-16,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-steering-group/registrar-and-secretary,2022-11-23,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/un-global-compact,2021-09-29,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/knowledge/research,2019-05-07,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/knowledge/curricula,2019-05-07,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/knowledge/environments,2019-05-07,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/knowledge/objectives,2019-05-07,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/knowledge/innovation-and-enterprise,2019-05-07,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/communities/essex-spirit,2019-05-07,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/communities/education-and-research,2019-05-07,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/communities/living-and-learning,2019-05-07,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/people/enabling-researchers,2023-10-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/people/objectives,2023-10-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/executive-summary,2023-10-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/people/students,2023-10-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/foreword,2023-10-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/people/transformational-education,2023-10-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/communities,2023-10-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/communities/objectives,2023-10-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/knowledge,2023-10-12,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/kpis,2023-10-12,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/people,2023-10-12,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/chancellor,2023-10-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/transparency-return,2023-11-10,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/charitable-status,2024-01-31,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/charter-statutes-and-ordinances,2024-01-31,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/regulations,2024-01-31,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/university-calendar,2024-01-31,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance,2024-05-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/statements/academic-freedom,2024-05-10,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-steering-group/vice-chancellor/pay-and-benefits,2024-08-01,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-steering-group,2024-08-06,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/council/elections-to-council,2024-06-12,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/key-dates,2024-09-25,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/senate,2024-10-09,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-steering-group/vice-chancellor,2024-10-10,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/access-and-participation-plan,2024-12-05,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/council/elections-to-honorary-degrees-and-honorary-fellowships-committee,2024-09-20,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/statements/duty-of-care,2024-06-25,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/policies,2024-10-09,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/university-strategy/people/our-shared-mission,2024-01-31,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/research-integrity,2024-12-16,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/senate/senate-agenda-group,2025-01-09,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/financial-statements,2025-03-03,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/senate/senate-elections,2025-04-01,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/statements/statement-on-the-supreme-court-ruling,2025-05-08,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/statements,2025-05-08,governance-and-strategy
https://www.essex.ac.uk/governance-and-strategy/governance/court,2025-05-13,governance-and-strategy
