URL,Last Modified,Second Prefix
https://www.essex.ac.uk/jobs/women-in-stem,2024-03-06,jobs
https://www.essex.ac.uk/jobs,2024-09-20,jobs
https://www.essex.ac.uk/jobs/overseas/childcare-and-schools,2022-10-03,jobs
https://www.essex.ac.uk/jobs/overseas/finance,2023-01-03,jobs
https://www.essex.ac.uk/jobs/overseas/registering-with-police-and-healthcare,2022-10-03,jobs
https://www.essex.ac.uk/jobs/overseas/getting-around,2022-10-03,jobs
https://www.essex.ac.uk/jobs/overseas/living-arrangements,2023-06-08,jobs
https://www.essex.ac.uk/jobs/benefits,2023-01-05,jobs
https://www.essex.ac.uk/jobs/diversity,2023-01-05,jobs
https://www.essex.ac.uk/jobs/find-a-vacancy,2021-03-09,jobs
https://www.essex.ac.uk/jobs/frequently-asked-questions,2022-12-22,jobs
https://www.essex.ac.uk/jobs/salary,2023-03-16,jobs
https://www.essex.ac.uk/jobs/overseas,2024-01-31,jobs
https://www.essex.ac.uk/jobs/overseas/communications,2024-01-31,jobs
https://www.essex.ac.uk/jobs/technician-commitment/the-technician-survey,2024-02-12,jobs
https://www.essex.ac.uk/jobs/guidance-notes,2024-11-06,jobs
