URL,Last Modified,Second Prefix
https://www.essex.ac.uk/news/2020/09/23/new-book-explores-what-happens-to-global-garment-workers-once-they-leave-their-factory-jobs,2020-10-21,news
https://www.essex.ac.uk/news/2020/09/25/covid19-statement,2020-10-08,news
https://www.essex.ac.uk/news/2020/09/28/essex-economist-becomes-fellow-of-the-academy-of-social-sciences,2020-10-21,news
https://www.essex.ac.uk/news/2020/09/03/after-essex-success,2020-10-08,news
https://www.essex.ac.uk/news/2020/09/03/british-council-alumni-awards-recognise-essex-graduates,2020-10-09,news
https://www.essex.ac.uk/news/2020/09/09/baby-loss-in-the-workplace,2020-09-17,news
https://www.essex.ac.uk/news/2020/09/09/new-book-investigates-the-colonialism-of-human-rights,2020-10-15,news
https://www.essex.ac.uk/news/2020/09/29/research-highlights-best-models-to-test-potential-covid-19-therapies,2020-09-29,news
https://www.essex.ac.uk/news/2020/09/29/research-to-investigate-‘living-coatings’-to-protect-ship-hulls,2020-10-01,news
https://www.essex.ac.uk/news/2023/01/17/strict-teachers-less-effective-in-classroom,2023-01-18,news
https://www.essex.ac.uk/news/2020/10/06/essex-joins-forces-with-law-firm-on-ktp,2020-10-08,news
https://www.essex.ac.uk/news/2020/10/13/praise-for-our-commitment-to-renewable-energy,2020-10-13,news
https://www.essex.ac.uk/news/2020/10/14/green-flag-for-wivenhoe-park-once-again,2020-10-26,news
https://www.essex.ac.uk/news/2023/01/19/essex-nursing-student-becomes-a-nursing-times-student-editor,2023-01-19,news
https://www.essex.ac.uk/news/2020/10/15/our-pioneering-sensor-technology-monitors-mussels-in-northern-ireland,2020-10-15,news
https://www.essex.ac.uk/news/2023/01/19/professorial-inaugural-lectures-relaunch,2023-01-26,news
https://www.essex.ac.uk/news/2020/10/16/human-rights-key-to-eradication-of-poverty-say-centre-amnesty-just-fair-atd-fourth-world,2020-11-18,news
https://www.essex.ac.uk/news/2020/10/16/scientists-use-computers-to-understand-photosynthesis-when-covid-19-shuts-labs,2020-10-16,news
https://www.essex.ac.uk/news/2020/10/16/tributes-for-dr-patrick-nolen,2020-12-09,news
https://www.essex.ac.uk/news/2023/01/19/decoding-brainwaves-to-identify-music-listened-to,2023-03-08,news
https://www.essex.ac.uk/news/2020/10/19/maria-leading-the-way-for-women-in-data-science,2020-10-19,news
https://www.essex.ac.uk/news/2020/10/19/yufe-academy-2020-lectures-launched,2020-10-19,news
https://www.essex.ac.uk/news/2020/10/21/covid-healthcare-in-uganda,2020-12-11,news
https://www.essex.ac.uk/news/2020/10/21/new-study-reveals-more-about-how-the-brain-responds-to-rewards,2020-10-29,news
https://www.essex.ac.uk/news/2020/10/26/international-award-for-essex-business-school,2020-11-18,news
https://www.essex.ac.uk/news/2020/10/29/amma-among-winners-of-student-nursing-times-award-2020,2020-12-08,news
https://www.essex.ac.uk/news/2023/01/12/university-community-recognised-in-new-year-honours,2023-01-24,news
https://www.essex.ac.uk/news/2020/02/07/dora-love-2020-prize-giving,2020-02-13,news
https://www.essex.ac.uk/news/2020/02/07/new-hope-for-reducing-memory-loss-as-we-age,2020-04-22,news
https://www.essex.ac.uk/news/2023/01/12/essex-health-expert-at-the-centre-of-global-nutrition-report,2023-01-12,news
https://www.essex.ac.uk/news/2020/02/10/finding-out-why-women-are-so-under-represented-in-indian-politics,2020-04-22,news
https://www.essex.ac.uk/news/2020/02/12/soho’s-unseen-story-uncovered-by-new-book,2020-06-18,news
https://www.essex.ac.uk/news/2020/02/25/centre-joins-south-east-digital-skills-partnership,2020-02-27,news
https://www.essex.ac.uk/news/2020/02/25/women-of-the-future-scholar-tanya-finds-her-rare-data-analytic-skills-are-in-high-demand,2020-02-25,news
https://www.essex.ac.uk/news/2020/02/26/selep-backs-parkside-office-village-project-with-£5m-investment,2020-04-22,news
https://www.essex.ac.uk/news/2023/01/23/news-article,2023-01-23,news
https://www.essex.ac.uk/news/2020/02/26/social-media-marketing-expert-to-provide-advice-to-local-business,2020-04-22,news
https://www.essex.ac.uk/news/2023/01/23/tom-sadler-announcement,2023-03-06,news
https://www.essex.ac.uk/news/2020/02/27/four-essex-students-shortlisted-for-nursing-times-award,2020-02-28,news
https://www.essex.ac.uk/news/2020/02/27/staff-donate-pennies-to-help-local-students,2020-04-22,news
https://www.essex.ac.uk/news/2020/02/28/ai-to-help-reduce-labour-market-gender-and-ethnic-bias,2020-02-28,news
https://www.essex.ac.uk/news/2020/02/28/becky-bags-british-bronze,2020-04-09,news
https://www.essex.ac.uk/news/2020/02/13/sea-longing,2020-02-13,news
https://www.essex.ac.uk/news/2020/02/21/opening-girls’-eyes-to-a-career-in-the-sciences,2020-02-21,news
https://www.essex.ac.uk/news/2020/02/21/edge-students-impress-at-the-brit-awards-2020,2022-02-22,news
https://www.essex.ac.uk/news/2020/02/16/essex-blades-win-volleyball-championship-again,2020-04-09,news
https://www.essex.ac.uk/news/2020/02/16/jeggo-takes-gold,2020-04-09,news
https://www.essex.ac.uk/news/2020/02/17/helping-computers-understand-our-3d-world,2020-02-18,news
https://www.essex.ac.uk/news/2020/02/17/professor-emilia-del-bono-new-director-of-misoc,2020-04-09,news
https://www.essex.ac.uk/news/2020/02/20/dying-for-the-nation,2020-02-20,news
https://www.essex.ac.uk/news/2020/02/20/essex-collaboration-to-focus-on-impact-of-people-living-with-neurological-conditions,2020-02-20,news
https://www.essex.ac.uk/news/2020/02/24/edge-hotel-school-conference-2020,2022-02-22,news
https://www.essex.ac.uk/news/2020/02/20/women-of-the-future-scholar-rebeca-explains-her-new-role-after-essex,2020-02-20,news
https://www.essex.ac.uk/news/2020/02/24/how-researchers-and-policymakers-are-working-together-with-data-to-improve-public-services,2020-02-24,news
https://www.essex.ac.uk/news/2023/01/26/student-life-again-for-three-hotel-school-lecturers,2023-01-26,news
https://www.essex.ac.uk/news/2023/01/26/climate-change-vulnerability-project-funding,2023-02-14,news
https://www.essex.ac.uk/news/2020/03/03/leading-experts-from-essex-and-colombia-come-together-to-discuss-peace-and-development-issues,2020-03-04,news
https://www.essex.ac.uk/news/2020/03/04/my-placement-gave-me-the-confidence-to-work-in-a-professional-environment,2020-03-06,news
https://www.essex.ac.uk/news/2020/03/04/my-placement-inspired-a-passion-for-the-transport-industry,2020-03-06,news
https://www.essex.ac.uk/news/2020/03/04/my-placement-provided-invaluable-experience-in-an-elite-sporting-environment,2020-03-06,news
https://www.essex.ac.uk/news/2020/03/04/human-rights-centre-launches-series-of-member-profiles,2020-04-08,news
https://www.essex.ac.uk/news/2020/03/04/celebrating-our-female-students,2020-03-09,news
https://www.essex.ac.uk/news/2020/03/04/qs-world-university-rankings-by-subject-top-rankings-for-essex,2020-04-09,news
https://www.essex.ac.uk/news/2020/03/04/my-placement-year-helped-me-grew-to-who-i-am-now,2020-03-09,news
https://www.essex.ac.uk/news/2020/03/10/new-award-gives-theatre-students-launchpad,2020-04-08,news
https://www.essex.ac.uk/news/2023/01/27/new-centre-for-coastal-communities-will-support-clacton-20m-levelling-up-project,2023-03-08,news
https://www.essex.ac.uk/news/2023/01/27/professor-honoured-for-outstanding-contribution-to-agricultural-development,2023-03-08,news
https://www.essex.ac.uk/news/2020/03/29/sonnet-response-series,2020-04-09,news
https://www.essex.ac.uk/news/2023/01/31/sociologist-receives-erc-grant-to-research-integration-of-third-generation-migrants,2023-04-11,news
https://www.essex.ac.uk/news/2023/01/24/miguel-lands-first-entrepreneur-in-residence-role-at-essex,2023-03-08,news
https://www.essex.ac.uk/news/2020/04/01/experts-join-forces-to-help-produce-child-friendly-covid19-pandemic-guide,2020-04-22,news
