URL,Last Modified,Second Prefix
https://www.essex.ac.uk/research-projects/essex-business-and-human-rights/project-outputs,2023-06-08,research-projects
https://www.essex.ac.uk/research-projects/essex-armed-conflict-and-crisis-hub/what-we-do,2023-07-24,research-projects
https://www.essex.ac.uk/research-projects/body-of-work/menstrual-cycles-at-work,2022-12-22,research-projects
https://www.essex.ac.uk/research-projects/body-of-work/fertility-birthing-and-miscarriage,2022-12-22,research-projects
https://www.essex.ac.uk/research-projects/body-of-work/racialised-bodies-and-anxiety,2022-12-22,research-projects
https://www.essex.ac.uk/research-projects/body-of-work/pain-and-interventions-on-the-body,2022-12-22,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/consent,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/facial-recognition,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/algorithmic-accountability,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/corporate-responsibility,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/covid-19,2022-06-22,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/health,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/humanitarian-assistance,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/intelligence-oversight,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/law-enforcement,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/misinformation-and-disinformation-and-deep-fakes,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/open-source-investigations,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/news,2022-03-30,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/people,2023-06-08,research-projects
https://www.essex.ac.uk/research-projects/human-rights-big-data-and-technology/social-care,2022-07-06,research-projects
https://www.essex.ac.uk/research-projects/happy-again/dutch-version,2023-04-13,research-projects
https://www.essex.ac.uk/research-projects/happy-again/italian-version,2023-04-13,research-projects
https://www.essex.ac.uk/research-projects/mind-over-matter/ethics-and-research-integrity,2023-01-10,research-projects
https://www.essex.ac.uk/research-projects/mind-over-matter/neuroscientific-basics,2023-01-10,research-projects
https://www.essex.ac.uk/research-projects/mind-over-matter/neurotechnology-principles,2023-01-10,research-projects
https://www.essex.ac.uk/research-projects/mind-over-matter/our-team,2023-06-08,research-projects
https://www.essex.ac.uk/research-projects/mind-over-matter/the-exhibit,2023-01-10,research-projects
https://www.essex.ac.uk/research-projects/discover-values/background-information,2023-01-10,research-projects
https://www.essex.ac.uk/research-projects/mediation-of-medical-treatment-disputes-a-therapeutic-justice-model/medical-treatment-disputes-concerning-children,2022-10-13,research-projects
https://www.essex.ac.uk/research-projects/mediation-of-medical-treatment-disputes-a-therapeutic-justice-model/therapeutic-justice-and-mediation,2022-10-13,research-projects
https://www.essex.ac.uk/research-projects/mediation-of-medical-treatment-disputes-a-therapeutic-justice-model/medical-treatment-disputes-concerning-adults,2022-10-13,research-projects
