URL,Last Modified,Second Prefix
https://www.essex.ac.uk/research/showcase,2022-11-07,research
https://www.essex.ac.uk/research,2024-08-30,research
https://www.essex.ac.uk/research/topics/covid19,2022-07-06,research
https://www.essex.ac.uk/research/gcrf,2021-10-01,research
https://www.essex.ac.uk/research/essexlab,2024-01-31,research
https://www.essex.ac.uk/research/gcrf/sustainable-rivers,2020-07-22,research
https://www.essex.ac.uk/research/gcrf/forest-fires,2020-10-07,research
https://www.essex.ac.uk/research/gcrf/improving-maternal-health-outcomes,2021-08-04,research
https://www.essex.ac.uk/research/gcrf/incoming-visiting-fellowships-summer-school,2021-03-23,research
https://www.essex.ac.uk/research/gcrf/initiative-towards-improved-agriculture-and-technology,2021-04-29,research
https://www.essex.ac.uk/research/gcrf/measured-intervention-for-economic-justice,2020-12-08,research
https://www.essex.ac.uk/research/gcrf/research-for-socio-economic-justice,2021-01-27,research
https://www.essex.ac.uk/research/gcrf/sexual-and-reproductive-health,2021-07-27,research
https://www.essex.ac.uk/research/gcrf/supporting-the-colombian-transitional-justice-process,2020-08-25,research
https://www.essex.ac.uk/research/gcrf/visit-to-bogota-colombia,2022-12-22,research
https://www.essex.ac.uk/research/topics/covid19/experts,2022-12-22,research
https://www.essex.ac.uk/research/essexlab/funding,2022-12-22,research
https://www.essex.ac.uk/research/essexlab/participate-in-a-study,2023-06-08,research
https://www.essex.ac.uk/research/gcrf/simulating-tax-benefit-policies-to-alleviate-poverty,2021-02-22,research
https://www.essex.ac.uk/research/topics/covid19/media,2023-11-10,research
https://www.essex.ac.uk/research/topics/covid19/latest-research,2023-11-10,research
https://www.essex.ac.uk/research/essexlab/conduct-a-study,2023-11-10,research
https://www.essex.ac.uk/research/essexlab/our-staff,2023-11-10,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2020/christoph-siemroth,2022-12-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2020/christina-kapadocha,2022-12-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2020/klaus-mcdonald-maier,2022-12-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2020/lucy-noakes,2022-12-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2020/robert-taylor,2020-07-16,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2020/jinya-su,2020-07-16,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2021,2021-09-21,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2021/elisabeth-kelan,2021-06-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2021/xiaojun-zhai,2021-06-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2021/anna-di-ronco,2021-06-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2021/joanna-rzepa,2021-06-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2021/katharine-cockin,2021-06-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2022,2022-07-13,research
https://www.essex.ac.uk/research/global-academic-interdisciplinary-network,2023-06-08,research
https://www.essex.ac.uk/research/recognition,2022-08-03,research
https://www.essex.ac.uk/research/eastern-arc,2023-03-01,research
https://www.essex.ac.uk/research/facilities,2023-06-08,research
https://www.essex.ac.uk/research/topics,2023-01-11,research
https://www.essex.ac.uk/research/global-academic-interdisciplinary-network/virtual-academic-conference,2022-12-22,research
https://www.essex.ac.uk/research/media-requests/brexit-commentary,2022-12-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers,2023-06-01,research
https://www.essex.ac.uk/research/recognition/research-supervisors,2022-08-03,research
https://www.essex.ac.uk/research/recognition/research-supervisors/2020,2022-08-01,research
https://www.essex.ac.uk/research/recognition/research-supervisors/2021,2022-12-22,research
https://www.essex.ac.uk/research/recognition/research-supervisors/2022,2023-06-08,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2020,2023-11-10,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2023,2023-11-10,research
https://www.essex.ac.uk/research/fellowships/institute-research-fellows,2023-11-10,research
https://www.essex.ac.uk/research/fellowships,2024-01-31,research
https://www.essex.ac.uk/research/projects,2024-07-11,research
https://www.essex.ac.uk/research/media-requests,2024-09-30,research
https://www.essex.ac.uk/research/fellowships/essex-international-visiting-fellowships,2023-11-29,research
https://www.essex.ac.uk/research/topics/public-health-and-wellbeing,2024-11-22,research
https://www.essex.ac.uk/research/topics/cognitive-health-and-dementia,2024-09-06,research
https://www.essex.ac.uk/research/topics/digital-health-and-health-informatics,2024-11-22,research
https://www.essex.ac.uk/research/recognition/celebrating-our-researchers/2024,2024-06-18,research
https://www.essex.ac.uk/research/fellowships/ukri-future-leaders-fellowships,2025-01-31,research
https://www.essex.ac.uk/research/topics/mental-health-and-wellbeing/social-prescribing,2025-03-24,research
https://www.essex.ac.uk/research/topics/mental-health-and-wellbeing/health-inequalities,2025-03-24,research
https://www.essex.ac.uk/research/topics/mental-health-and-wellbeing/psychosocial-approaches,2025-03-24,research
https://www.essex.ac.uk/research/topics/mental-health-and-wellbeing/stress-trauma-and-resilience,2025-03-24,research
https://www.essex.ac.uk/research/areas,2025-03-18,research
https://www.essex.ac.uk/research/fellowships/marie-sklodowska-curie-individual-fellowship,2025-03-04,research
https://www.essex.ac.uk/research/topics/mental-health-and-wellbeing/inclusive-involvement,2025-03-27,research
https://www.essex.ac.uk/research/topics/womens-health,2025-04-04,research
https://www.essex.ac.uk/research/topics/artificial-intelligence,2025-04-07,research
https://www.essex.ac.uk/research/topics/analytics-and-data-science,2025-04-07,research
https://www.essex.ac.uk/research/topics/security-and-resilience,2025-04-11,research
https://www.essex.ac.uk/research/topics/non-communicable-diseases,2025-04-15,research
https://www.essex.ac.uk/research/topics/mental-health-and-wellbeing,2025-04-16,research
https://www.essex.ac.uk/research/topics/health-inequalities-and-health-systems,2025-04-16,research
https://www.essex.ac.uk/research/topics/health-environment-connection,2025-04-16,research
https://www.essex.ac.uk/research/topics/babies-children-and-teenagers,2025-05-02,research
https://www.essex.ac.uk/research/topics/sustainability-and-climate-change,2025-05-12,research
https://www.essex.ac.uk/research/recognition/ref-results,2025-05-14,research
