URL,Last Modified,Second Prefix
https://www.essex.ac.uk/short-courses/introduction-to-programming-and-databases,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/driving-sales-through-effective-relationship-management,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/accelerating-innovation,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/digital-brand-management,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/developing-professional-practice---level-7,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/developing-professional-practice---level-6,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/developing-critical-appraisal-skills---level-6,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/data-visualisation-and-predictive-modelling-using-r,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/developing-critical-appraisal-skills---level-5,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/creating-competitive-advantage,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/core-management,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/introduction-to-programming-for-data-science-and-ai,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/summer-school-module,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/introduction-to-statistical-analysis-and-data-science-with-r,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/leading-with-data-and-ai,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/personal-effectiveness-in-leadership-and-strategy,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/management-of-diabetes---level-4,2024-04-03,short-courses
https://www.essex.ac.uk/short-courses/innovation-and-change-management-in-health-and-social-care,2025-03-07,short-courses
https://www.essex.ac.uk/short-courses/strategic-management-and-senior-leadership-in-health-and-social-care,2025-03-07,short-courses
https://www.essex.ac.uk/short-courses/sustainability-stewardship-and-finance,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/advanced-clinical-practice-dissertation,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/advanced-clinical-practice-development-portfolio,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/introduction-to-global-health,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/research-design-and-critical-appraisal-skills,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/applying-and-using-learning-in-practice---level-7---15-credits,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/quality-improvement-in-practice---level-7,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/research-dissertation---hsc,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/consultation-and-assessment-skills---level-6,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/consultation-and-assessment-skills---level-7,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/developing-as-a-practice-educator---social-work---pep-2---level-7,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/qualitative-health-research---level-7,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/theory-and-method-in-health-research,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/course-design-and-development---level-7,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/health-inequalities-and-intersectionality,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/data-collection-analysis-and-interpretation---level-7---15-credits,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/learning-organisations-and-quality-enhancement---level-7,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/leadership-in-health-and-social-care---level-7,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/applying-and-using-learning-in-practice---level-7---30-credits,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/using-technology-to-enhance-learning-in-practice---level-7,2025-05-06,short-courses
https://www.essex.ac.uk/short-courses/first-contact-musculoskeletal-practice,2025-05-08,short-courses
https://www.essex.ac.uk/short-courses/musculoskeletal-ultrasound-clinical-skills-experience---scanning-record,2025-05-08,short-courses
https://www.essex.ac.uk/short-courses/technical-considerations-in-ultrasound-imaging,2025-05-08,short-courses
https://www.essex.ac.uk/short-courses/introduction-to-musculoskeletal-ultrasound,2025-05-08,short-courses
https://www.essex.ac.uk/short-courses/point-of-care-rheumatology-ultrasound---level-7,2025-05-08,short-courses
