URL,Last Modified,Second Prefix
https://www.essex.ac.uk/sport/facilities/womens-high-performance-football-centre,2023-07-24,sport
https://www.essex.ac.uk/sport/community-engagement,2023-09-19,sport
https://www.essex.ac.uk/sport/facilities/sports-hall,2023-03-23,sport
https://www.essex.ac.uk/sport/success---sport-newsletter,2022-09-20,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-4,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-15,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-3,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-13,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-16,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-12,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-17,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-7,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-1,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-10,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-11,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-14,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-5,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-9,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-18,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-2,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-8,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/course/hole-6,2023-10-03,sport
https://www.essex.ac.uk/sport/facilities/southend-and-loughton,2024-02-05,sport
https://www.essex.ac.uk/sport/performance-sport/tennis,2024-02-05,sport
https://www.essex.ac.uk/sport/performance-sport/basketball,2024-02-05,sport
https://www.essex.ac.uk/sport/performance-sport,2024-05-08,sport
https://www.essex.ac.uk/sport/childrens-activities,2024-08-28,sport
https://www.essex.ac.uk/sport/the-tribe,2024-09-27,sport
https://www.essex.ac.uk/sport/facilities/squash-courts,2024-10-01,sport
https://www.essex.ac.uk/sport/facilities/activity-studios,2024-10-01,sport
https://www.essex.ac.uk/sport/facilities/outdoor-pitches,2024-08-14,sport
https://www.essex.ac.uk/sport/performance-sport/volleyball,2024-11-12,sport
https://www.essex.ac.uk/sport/childrens-activities/junior-parties,2024-11-21,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/park-and-history,2024-09-06,sport
https://www.essex.ac.uk/sport/performance-sport/other-sports,2024-09-06,sport
https://www.essex.ac.uk/sport/facilities/disc-golf/book-and-visit,2024-09-06,sport
https://www.essex.ac.uk/sport/performance-sport/football,2024-06-12,sport
https://www.essex.ac.uk/sport/student-accommodation,2024-12-13,sport
https://www.essex.ac.uk/sport/facilities/disc-golf,2025-01-31,sport
https://www.essex.ac.uk/sport/membership,2025-02-12,sport
https://www.essex.ac.uk/sport/community-engagement/schools-and-community,2025-02-06,sport
https://www.essex.ac.uk/sport/membership/community-membership,2025-02-12,sport
https://www.essex.ac.uk/sport,2025-03-10,sport
https://www.essex.ac.uk/sport/fitness-classes,2025-05-09,sport
https://www.essex.ac.uk/sport/membership/student-membership,2025-04-08,sport
https://www.essex.ac.uk/sport/facilities/colchester-gym,2025-05-02,sport
https://www.essex.ac.uk/sport/facilities/climbing-wall,2025-05-06,sport
https://www.essex.ac.uk/sport/childrens-activities/junior-tennis,2025-05-07,sport
https://www.essex.ac.uk/sport/childrens-activities/junior-courses,2025-05-07,sport
https://www.essex.ac.uk/sport/childrens-activities/junior-climbing,2025-05-07,sport
https://www.essex.ac.uk/sport/active-campus,2025-05-07,sport
https://www.essex.ac.uk/sport/facilities,2025-05-07,sport
https://www.essex.ac.uk/sport/facilities/tennis-courts,2025-05-12,sport
https://www.essex.ac.uk/sport/childrens-activities/chums-holiday-camp,2025-05-14,sport
