URL,Last Modified,Second Prefix
https://www.essex.ac.uk/undergraduate,2025-03-26,undergraduate
https://www.essex.ac.uk/undergraduate/applying-to-essex/international-applicants,2023-12-12,undergraduate
https://www.essex.ac.uk/undergraduate/integrated-masters,2024-02-15,undergraduate
https://www.essex.ac.uk/undergraduate/applying-to-essex/uk-applicants,2024-07-26,undergraduate
https://www.essex.ac.uk/undergraduate/study-abroad,2024-10-04,undergraduate
https://www.essex.ac.uk/undergraduate/why-go-to-university,2025-01-08,undergraduate
https://www.essex.ac.uk/undergraduate/our-courses,2025-01-09,undergraduate
https://www.essex.ac.uk/undergraduate/preparing-for-higher-education,2025-02-05,undergraduate
https://www.essex.ac.uk/undergraduate/applying-to-essex/transferring-to-essex,2025-01-09,undergraduate
https://www.essex.ac.uk/undergraduate/prospectus,2025-02-07,undergraduate
https://www.essex.ac.uk/undergraduate/applying-to-essex,2025-02-04,undergraduate
https://www.essex.ac.uk/undergraduate/applying-to-essex/personal-statement,2025-01-15,undergraduate
https://www.essex.ac.uk/undergraduate/mature,2025-02-19,undergraduate
https://www.essex.ac.uk/undergraduate/fees-and-funding/home-uk-fees,2025-02-19,undergraduate
https://www.essex.ac.uk/undergraduate/revision,2025-02-25,undergraduate
https://www.essex.ac.uk/undergraduate/offer-holders,2025-03-26,undergraduate
https://www.essex.ac.uk/undergraduate/fees-and-funding,2025-04-01,undergraduate
https://www.essex.ac.uk/undergraduate/parents,2025-04-14,undergraduate
https://www.essex.ac.uk/undergraduate/future,2025-04-23,undergraduate
https://www.essex.ac.uk/undergraduate/fees-and-funding/eu-and-international-fees,2025-04-25,undergraduate
https://www.essex.ac.uk/undergraduate/fees-and-funding/scholarships-and-funding,2025-04-23,undergraduate
